,discount,price,no of items,location,segment,sub-class,delivery type,profit
56,0.2,272.736,3,Central,Home Office,laptop,Standard Class,-64.7748
57,0.2,11.784,3,Central,Home Office,tablet,Standard Class,4.2717
58,0.0,2.89,1,South,Corporate,tablet,Standard Class,1.3583
59,0.0,51.94,1,South,Corporate,shorts,Standard Class,21.2954
60,0.0,5.48,2,South,Home Office,television,Standard Class,1.4796
61,0.0,11.36,2,South,Corporate,watch,Second Class,5.3392
62,0.0,9.94,2,East,Consumer,shorts,First Class,3.0814
63,0.2,30.072,3,East,Consumer,tablet,Second Class,10.1493
64,0.7,18.588,2,East,Consumer,headset,Second Class,-13.6312
65,0.4,124.2,3,East,Consumer,colddrinks,Second Class,-31.05
66,0.2,127.104,6,East,Consumer,shorts,Second Class,28.5984
67,0.5,61.96,4,East,Corporate,pants,First Class,-53.2856
68,0.7,3.438,2,East,Consumer,headset,Standard Class,-2.5212
69,0.2,37.408,7,East,Consumer,phone,Standard Class,13.0928
70,0.0,149.95,5,South,Consumer,chocolates,First Class,65.97800000000001
71,0.15,333.999,3,West,Consumer,pants,Standard Class,3.9294
72,0.0,1325.85,5,West,Consumer,laptop,Standard Class,238.653
73,0.0,545.94,6,South,Consumer,tshirts,Second Class,87.3504
74,0.0,572.58,6,South,Corporate,laptop,Second Class,34.3548
75,0.0,5.64,3,South,Corporate,headset,Second Class,2.7072
76,0.0,646.74,6,South,Corporate,chocolates,Second Class,258.69599999999997
77,0.0,19.9,5,West,Consumer,television,Standard Class,6.567
78,0.0,50.94,3,South,Corporate,watch,Second Class,25.47
79,0.2,129.56799999999998,2,West,Consumer,tshirts,Standard Class,-24.294
80,0.8,7.96,2,Central,Consumer,battery,Standard Class,-13.93
81,0.8,1.08,3,Central,Consumer,headset,Standard Class,-1.7280000000000002
82,0.2,21.36,5,West,Corporate,headset,Standard Class,7.209
83,0.2,16.176,3,Central,Consumer,phone,Second Class,6.066
84,0.0,81.96,2,West,Corporate,battery,Standard Class,22.9488
85,0.0,239.97,3,West,Corporate,chocolates,Standard Class,86.3892
86,0.2,54.208,14,Central,Consumer,television,Standard Class,8.8088
87,0.0,238.62,2,West,Corporate,charger,Standard Class,4.7724
88,0.6,25.16,5,Central,Consumer,shorts,Same Day,-11.322000000000001
89,0.2,32.896,4,West,Consumer,phone,Standard Class,11.1024
90,0.0,62.31,3,Central,Corporate,chocolates,Standard Class,22.4316
91,0.0,20.32,4,Central,Corporate,shorts,Standard Class,6.9088
92,0.0,12.96,2,West,Home Office,phone,Standard Class,6.2208
93,0.8,8.85,5,Central,Consumer,headset,Standard Class,-13.7175
94,0.0,19.44,3,West,Consumer,phone,First Class,9.3312
95,0.2,6.936,3,Central,Home Office,tablet,Standard Class,2.3409
96,0.8,4.428,3,Central,Home Office,headset,Standard Class,-6.8634
97,0.2,22.776,3,West,Consumer,phone,Standard Class,7.6869
98,0.2,19.456,4,East,Consumer,television,First Class,3.4048
99,0.0,64.96,2,Central,Consumer,laptop,Second Class,2.5984
100,0.2,12.624,2,Central,Consumer,laptop,Standard Class,-2.5248
101,0.0,51.9,3,Central,Consumer,headset,Second Class,24.393
102,0.0,332.94,3,Central,Consumer,shorts,Second Class,53.2704
103,0.0,9.64,2,Central,Consumer,headset,Second Class,4.4344
104,0.0,468.9,6,Central,Consumer,chocolates,First Class,206.31599999999997
105,0.0,12.35,5,West,Home Office,lighting,Standard Class,5.8045
106,0.2,180.96,5,South,Consumer,colddrinks,Standard Class,13.572000000000001
107,0.2,83.84,2,West,Consumer,headset,Second Class,27.248
108,0.2,13.272,3,West,Consumer,headset,Second Class,4.3134
109,0.2,82.896,3,West,Home Office,headset,Standard Class,29.0136
110,0.0,34.24,4,West,Home Office,phone,Standard Class,16.0928
111,0.2,17.248,2,West,Corporate,headset,Second Class,6.0368
112,0.0,15.0,4,South,Corporate,tablet,First Class,7.2
113,0.0,161.61,1,South,Corporate,colddrinks,First Class,42.0186
114,0.7,18.336,2,South,Consumer,headset,Standard Class,-12.224
115,0.8,8.952,2,Central,Consumer,headset,Second Class,-14.7708
116,0.0,144.95,5,South,Corporate,colddrinks,First Class,42.0355
117,0.0,14.94,3,Central,Consumer,tablet,Second Class,6.8724
118,0.0,17.46,2,South,Consumer,headset,Standard Class,8.2062
119,0.0,1256.22,6,South,Consumer,hoodies,Standard Class,75.3732
120,0.0,60.89,1,Central,Consumer,tshirts,Second Class,15.2225
121,0.0,14.56,2,West,Home Office,shorts,First Class,5.5328
122,0.0,64.96,4,East,Corporate,laptop,Second Class,9.744
123,0.0,115.36,7,East,Corporate,chocolates,Standard Class,49.6048
124,0.0,234.45,3,South,Consumer,chocolates,Standard Class,103.15799999999999
125,0.2,20.016,3,South,Corporate,shorts,First Class,5.5044
126,0.0,14.4,5,South,Corporate,tablet,Standard Class,6.624
127,0.2,170.24,2,South,Corporate,chocolates,First Class,53.2
128,0.2,7.4079999999999995,2,East,Consumer,television,Standard Class,1.2038
129,0.2,6.047999999999999,3,East,Consumer,television,Standard Class,1.5876
130,0.2,16.272000000000002,1,South,Corporate,laptop,Standard Class,-3.8646
131,0.0,3499.93,7,South,Corporate,colddrinks,Standard Class,909.9818
132,0.0,122.97,3,South,Corporate,phone,Standard Class,60.2553
133,0.2,218.37599999999998,3,South,Consumer,tshirts,Standard Class,-10.9188
134,0.0,122.94,3,South,Corporate,headset,Standard Class,59.0112
135,0.2,59.2,5,South,Consumer,tablet,Standard Class,22.2
136,0.2,32.952,3,South,Consumer,shorts,Standard Class,6.5904
137,0.7,7.644,4,South,Consumer,headset,Standard Class,-5.8604
138,0.7,51.465,5,South,Consumer,headset,Standard Class,-39.4565
139,0.2,74.352,3,West,Corporate,phone,Standard Class,23.235
140,0.2,4.992,3,South,Corporate,shorts,First Class,1.3728
141,0.0,9.32,4,South,Corporate,television,Standard Class,2.7028
142,0.7,33.57,5,South,Corporate,headset,First Class,-25.737
143,0.2,8.016,3,South,Home Office,television,Standard Class,1.002
144,0.2,11.808,4,South,Corporate,tablet,First Class,3.9852
145,0.0,12.96,2,South,Corporate,phone,Standard Class,6.3504
146,0.0,16.0,4,South,Corporate,phone,Standard Class,7.68
147,0.0,32.67,3,South,Corporate,battery,Standard Class,8.4942
148,0.2,126.624,6,East,Corporate,phone,Second Class,41.1528
149,0.5,821.3,4,South,Home Office,sweets,Standard Class,-16.426
150,0.5,22638.48,6,South,Home Office,sweets,Standard Class,-1811.0784
151,0.2,21.375999999999998,4,South,Home Office,phone,Standard Class,7.4816
152,0.2,26.16,3,South,Corporate,laptop,First Class,1.962
153,0.2,314.35200000000003,3,West,Corporate,tshirts,Standard Class,-35.3646
154,0.2,18.936,3,South,Home Office,lighting,Standard Class,5.9175
155,0.2,122.352,3,South,Home Office,shorts,Standard Class,15.294
156,0.15,1198.33,10,West,Home Office,pants,Second Class,70.49
157,0.0,111.0,2,West,Home Office,shorts,Standard Class,14.43
158,0.2,1279.968,4,West,Home Office,sweets,Standard Class,415.9896
159,0.0,1856.19,7,West,Home Office,laptop,Standard Class,334.1142
160,0.2,323.976,3,South,Corporate,colddrinks,First Class,28.3479
161,0.2,30.768,2,South,Home Office,shorts,Standard Class,8.0766
162,0.0,16.28,2,Central,Consumer,television,Same Day,6.5120000000000005
163,0.0,66.3,3,West,Corporate,chocolates,Standard Class,8.619
164,0.2,604.752,6,West,Consumer,colddrinks,Second Class,37.797
165,0.0,44.4,3,West,Corporate,tablet,Standard Class,22.2
166,0.0,10.5,5,East,Corporate,television,First Class,2.94
167,0.15,205.666,2,West,Consumer,pants,Standard Class,-12.097999999999999
168,0.2,335.72,5,Central,Home Office,watch,First Class,113.3055
169,0.2,251.94400000000002,7,Central,Home Office,colddrinks,First Class,88.1804
170,0.3,127.302,7,Central,Home Office,tshirts,First Class,-9.093
171,0.0,129.3,2,Central,Consumer,laptop,Standard Class,6.465
172,0.0,15.84,3,West,Corporate,laptop,Standard Class,0.0
173,0.2,673.568,2,West,Consumer,headset,Standard Class,252.588
174,0.7,0.852,1,East,Consumer,headset,Same Day,-0.5964
175,0.8,8.134,7,Central,Consumer,headset,Standard Class,-13.8278
176,0.2,79.984,2,Central,Consumer,chocolates,Standard Class,13.9972
177,0.7,1.869,1,South,Corporate,headset,Standard Class,-1.3083
178,0.2,1125.488,7,South,Consumer,tshirts,Same Day,98.4802
179,0.7,12.645,5,South,Consumer,headset,Same Day,-10.116
180,0.2,4.032,2,South,Consumer,television,Same Day,1.0584
181,0.0,52.98,2,West,Consumer,battery,Standard Class,14.8344
182,0.0,330.4,2,West,Consumer,laptop,Second Class,85.904
183,0.0,49.65,5,East,Consumer,television,Standard Class,20.853
184,0.4,330.588,1,East,Home Office,hoodies,Standard Class,-143.2548
185,0.2,9.912,3,South,Consumer,tablet,First Class,3.2214
186,0.0,24.9,5,East,Consumer,phone,Standard Class,11.703
187,0.0,40.48,2,West,Consumer,shorts,Second Class,14.5728
188,0.1,366.786,7,East,Consumer,tshirts,Standard Class,65.2064
189,0.0,6.56,2,West,Consumer,television,Standard Class,1.9024
190,0.0,14.88,2,West,Consumer,television,Standard Class,3.72
191,0.0,45.48,4,West,Consumer,chocolates,Standard Class,15.918
192,0.3,890.841,3,Central,Consumer,hoodies,Standard Class,-152.7156
193,0.0,25.44,6,West,Consumer,television,Standard Class,9.9216
194,0.0,3.36,2,West,Corporate,television,Second Class,0.84
195,0.2,27.936,4,West,Corporate,headset,Second Class,9.4284
196,0.2,28.784000000000002,2,West,Corporate,colddrinks,Second Class,2.8784
197,0.0,18.75,5,West,Consumer,tablet,Second Class,9.0
198,0.0,6.12,3,Central,Consumer,watch,Standard Class,2.8764
199,0.0,1184.72,4,Central,Consumer,hoodies,Standard Class,106.6248
200,0.2,302.376,3,West,Home Office,colddrinks,Standard Class,22.6782
201,0.0,30.44,2,South,Corporate,headset,Standard Class,14.9156
202,0.0,11.43,3,South,Corporate,headset,Standard Class,5.3721
203,0.0,10.56,2,West,Corporate,phone,Standard Class,4.752
204,0.2,5.184,1,Central,Consumer,phone,Same Day,1.8792
205,0.2,44.672,8,East,Corporate,laptop,Standard Class,-10.0512
206,0.8,176.77200000000002,3,Central,Consumer,battery,Standard Class,-459.6072
207,0.2,626.352,3,West,Consumer,hoodies,Standard Class,-23.4882
208,0.0,354.9,5,South,Consumer,laptop,Same Day,17.745
209,0.2,15.552,3,South,Consumer,television,Standard Class,2.3328
210,0.0,59.52,3,East,Consumer,television,Second Class,15.4752
211,0.0,479.97,3,East,Consumer,chocolates,Second Class,177.5889
212,0.5,302.45,5,East,Corporate,pants,Standard Class,-199.61700000000002
213,0.0,18.62,2,East,Consumer,charger,Second Class,5.3998
214,0.0,97.82,2,East,Consumer,phone,Second Class,45.9754
215,0.2,48.711999999999996,1,West,Consumer,tshirts,First Class,5.4801
216,0.0,17.94,3,West,Consumer,television,First Class,4.6644
217,0.0,242.94,3,West,Consumer,laptop,First Class,4.8588
218,0.2,107.648,2,West,Home Office,headset,Second Class,33.64
219,0.0,20.65,5,West,Corporate,television,Standard Class,9.499
220,0.0,204.9,5,West,Corporate,laptop,Standard Class,0.0
221,0.2,49.632,6,East,Consumer,headset,Second Class,16.7508
222,0.2,436.704,6,West,Corporate,tshirts,Standard Class,21.8352
223,0.2,15.12,3,East,Corporate,tablet,Standard Class,4.914
224,0.2,125.76,3,East,Home Office,headset,Standard Class,40.872
225,0.2,457.56800000000004,2,West,Consumer,tshirts,Second Class,51.4764
226,0.0,5.94,3,East,Home Office,colddrinks,Standard Class,1.6038
227,0.3,634.116,6,Central,Home Office,tshirts,Standard Class,-172.1172
228,0.2,17.472,3,Central,Home Office,phone,Standard Class,5.6784
229,0.2,18.84,5,Central,Consumer,lighting,Standard Class,-3.5325
230,0.2,15.552,3,Central,Consumer,phone,Same Day,5.4432
231,0.6,63.552,6,Central,Consumer,shorts,Standard Class,-34.9536
232,0.2,25.32,5,East,Home Office,headset,Standard Class,9.1785
233,0.2,129.55200000000002,3,Central,Consumer,laptop,Standard Class,-22.6716
234,0.3,376.509,3,Central,Consumer,hoodies,Standard Class,-43.0296
235,0.0,11.36,2,East,Home Office,watch,Standard Class,5.3392
236,0.0,36.4,5,East,Home Office,phone,Standard Class,17.472
237,0.2,3.424,1,East,Corporate,phone,Standard Class,1.07
238,0.2,151.2,3,East,Corporate,chocolates,Standard Class,32.13
239,0.2,19.456,4,South,Consumer,television,Second Class,3.4048
240,0.0,9.99,1,East,Home Office,colddrinks,Standard Class,4.5954
241,0.2,137.352,3,Central,Consumer,laptop,Standard Class,8.5845
242,0.2,481.56800000000004,2,West,Corporate,tshirts,Standard Class,54.1764
243,0.3,362.25,6,Central,Consumer,tshirts,Standard Class,0.0
244,0.2,636.408,3,West,Consumer,laptop,Standard Class,-15.9102
245,0.2,45.696000000000005,3,South,Consumer,shorts,Standard Class,5.1408
246,0.7,7.218,3,South,Consumer,headset,Standard Class,-5.5338
247,0.7,43.188,4,South,Consumer,headset,Standard Class,-31.6712
248,0.2,131.904,3,South,Consumer,phone,Standard Class,47.8152
249,0.2,471.92,2,South,Home Office,colddrinks,Second Class,29.495
250,0.0,93.78,2,Central,Consumer,battery,Standard Class,36.5742
251,0.0,47.18,7,Central,Consumer,phone,Standard Class,23.59
252,0.2,142.776,1,South,Consumer,laptop,Standard Class,17.847
253,0.0,19.68,6,Central,Consumer,television,Standard Class,5.7072
254,0.0,35.88,6,Central,Consumer,headset,Standard Class,17.2224
255,0.4,1579.746,7,East,Corporate,hoodies,Standard Class,-447.5947
256,0.4,1071.576,4,East,Corporate,hoodies,Standard Class,-553.6476
257,0.0,34.86,7,East,Corporate,phone,Standard Class,16.3842
258,0.0,155.04,4,East,Corporate,phone,Standard Class,75.9696
259,0.2,4.448,2,Central,Consumer,television,Same Day,0.3336
260,0.0,22.38,2,Central,Consumer,phone,Standard Class,10.7424
261,0.0,53.4,10,Central,Consumer,headset,Standard Class,25.098000000000003
262,0.2,91.056,6,South,Home Office,phone,Standard Class,31.8696
263,0.4,613.908,3,East,Corporate,hoodies,Standard Class,-122.7816
264,0.3,574.91,2,Central,Home Office,sweets,First Class,156.047
265,0.2,8.448,2,Central,Home Office,phone,First Class,2.64
266,0.2,8.32,5,East,Consumer,shorts,Second Class,2.2880000000000003
267,0.0,108.92,14,East,Consumer,phone,Second Class,49.013999999999996
268,0.0,146.76,3,South,Corporate,battery,Second Class,38.1576
269,0.0,32.96,2,South,Corporate,chocolates,Second Class,14.1728
270,0.0,587.97,3,South,Corporate,colddrinks,Second Class,164.6316
271,0.0,14.94,3,South,Corporate,phone,Second Class,7.0218
272,0.0,7.98,3,West,Consumer,television,Standard Class,2.0748
273,0.2,10.464,6,East,Consumer,lighting,Second Class,1.7004
274,0.0,3.38,1,West,Corporate,television,Standard Class,1.2506
275,0.2,62.048,2,West,Consumer,headset,Standard Class,20.1656
276,0.0,21.36,2,West,Consumer,laptop,Standard Class,5.7672
277,0.0,82.8,12,West,Consumer,chocolates,Standard Class,6.624
278,0.2,83.16799999999999,4,West,Consumer,television,Standard Class,9.3564
279,0.0,80.98,1,West,Consumer,laptop,Standard Class,3.2392
280,0.2,33.088,4,West,Consumer,headset,Standard Class,11.1672
281,0.0,1139.92,4,South,Home Office,tshirts,Standard Class,284.98
282,0.2,2.688,2,Central,Consumer,television,Standard Class,1.008
283,0.3,317.058,3,Central,Consumer,tshirts,Standard Class,-18.1176
284,0.2,149.352,3,Central,Consumer,watch,Standard Class,50.4063
285,0.2,227.976,3,Central,Consumer,chocolates,Standard Class,28.497
286,0.0,76.14,3,West,Home Office,shorts,Second Class,26.649
287,0.0,58.05,3,South,Consumer,headset,Second Class,26.703000000000003
288,0.0,71.28,11,South,Consumer,phone,Second Class,34.2144
289,0.3,744.1,5,Central,Consumer,hoodies,Second Class,-95.67
290,0.0,247.84,8,East,Corporate,watch,Second Class,121.4416
291,0.3,401.59,2,Central,Consumer,hoodies,Second Class,-131.951
292,0.0,59.92,4,West,Consumer,shorts,Standard Class,27.5632
293,0.2,16.52,5,West,Consumer,headset,Standard Class,5.5755
294,0.0,11.62,2,West,Consumer,lighting,Standard Class,3.6022
295,0.0,828.84,6,South,Corporate,laptop,Standard Class,0.0
296,0.2,44.84,5,Central,Consumer,laptop,Second Class,5.605
297,0.4,71.928,12,East,Corporate,colddrinks,Second Class,8.3916
298,0.0,13.12,4,West,Consumer,television,Standard Class,3.8048
299,0.2,287.968,4,West,Consumer,sweets,Standard Class,97.1892
300,0.2,39.071999999999996,6,South,Corporate,television,Standard Class,9.767999999999999
301,0.0,187.76,4,West,Home Office,shorts,Same Day,76.9816
302,0.0,106.96,2,West,Home Office,battery,Same Day,31.0184
303,0.0,7.83,3,East,Home Office,tablet,Standard Class,3.6018
304,0.2,30.991999999999997,13,East,Corporate,lighting,Second Class,10.0724
305,0.7,509.97,10,East,Corporate,headset,Second Class,-407.976
306,0.2,17.855999999999998,4,East,Corporate,television,Second Class,1.1159999999999999
307,0.0,39.68,2,West,Corporate,television,Standard Class,16.2688
308,0.0,32.4,5,Central,Consumer,phone,Standard Class,15.552
309,0.15,308.499,3,West,Corporate,pants,Standard Class,-18.147000000000002
310,0.2,9.912,3,East,Corporate,headset,Second Class,3.3453
311,0.2,18.088,7,West,Corporate,headset,Standard Class,6.5569
312,0.0,10.75,5,West,Consumer,television,Standard Class,3.5475
313,0.7,2.502,3,East,Corporate,headset,First Class,-1.7514
314,0.0,3.15,1,East,Corporate,tablet,Standard Class,1.5119999999999998
315,0.3,281.372,2,East,Home Office,tshirts,Standard Class,-12.0588
316,0.2,438.36800000000005,4,West,Corporate,colddrinks,Standard Class,38.3572
317,0.0,826.0,5,South,Consumer,laptop,First Class,214.76
318,0.0,174.95,5,South,Consumer,television,First Class,45.486999999999995
319,0.0,47.79,3,South,Consumer,chocolates,Second Class,16.2486
320,0.0,19.98,2,East,Consumer,colddrinks,Standard Class,5.1948
321,0.2,99.92,5,South,Corporate,laptop,Standard Class,-1.249
322,0.2,561.5840000000001,2,South,Corporate,tshirts,Standard Class,70.19800000000001
323,0.0,17.94,3,South,Consumer,headset,Second Class,8.6112
324,0.0,51.96,2,South,Consumer,tshirts,Second Class,12.99
325,0.0,17.46,2,East,Consumer,shorts,Standard Class,5.9364
326,0.0,159.98,2,East,Corporate,chocolates,Standard Class,57.5928
327,0.2,1679.96,5,West,Consumer,colddrinks,First Class,125.99700000000001
328,0.2,177.56799999999998,2,East,Corporate,laptop,Standard Class,-37.7332
329,0.2,27.096,3,East,Corporate,laptop,Standard Class,2.0322
330,0.2,6.912000000000001,3,East,Corporate,tablet,Standard Class,2.5056
331,0.0,5.34,2,East,Corporate,television,Standard Class,1.4952
332,0.0,497.61,9,East,Corporate,laptop,Standard Class,129.3786
333,0.7,7.4879999999999995,8,East,Home Office,headset,Standard Class,-5.2416
334,0.2,22.336,4,East,Home Office,shorts,Standard Class,7.8176
335,0.0,48.91,1,West,Home Office,phone,Second Class,22.9877
336,0.2,10.368,2,Central,Home Office,phone,Standard Class,3.6288
337,0.2,6.24,3,Central,Home Office,television,Standard Class,0.546
338,0.2,302.376,3,South,Consumer,colddrinks,Standard Class,37.797
339,0.3,281.372,2,East,Home Office,tshirts,Standard Class,-12.0588
340,0.0,303.25,5,West,Home Office,shorts,Standard Class,63.6825
341,0.2,1487.04,5,West,Home Office,tshirts,Standard Class,148.704
342,0.2,230.28,3,West,Corporate,tshirts,Standard Class,23.028000000000002
343,0.2,18.288,6,West,Corporate,headset,Standard Class,5.715
344,0.0,21.4,5,West,Home Office,television,Standard Class,6.206
345,0.0,12.6,2,West,Home Office,tablet,Standard Class,5.796
346,0.0,20.86,2,East,Corporate,headset,Standard Class,9.387
347,0.0,270.72,3,West,Home Office,battery,Standard Class,78.5088
348,0.2,1075.088,14,West,Corporate,colddrinks,Standard Class,94.0702
349,0.0,12.96,2,South,Corporate,phone,Standard Class,6.3504
350,0.2,105.584,2,West,Consumer,colddrinks,Standard Class,9.2386
351,0.0,13.89,3,Central,Consumer,television,Second Class,4.5837
352,0.0,40.2,5,Central,Consumer,headset,Second Class,18.09
353,0.0,26.7,2,Central,Consumer,television,Second Class,7.476
354,0.2,52.096000000000004,4,Central,Corporate,laptop,First Class,3.9072
355,0.2,49.632,4,Central,Corporate,laptop,First Class,3.7224
356,0.0,4164.05,5,South,Corporate,charger,Second Class,83.281
357,0.0,22.96,7,South,Corporate,television,Second Class,6.6584
358,0.0,12.96,2,South,Corporate,phone,Second Class,6.3504
359,0.0,28.99,1,South,Corporate,colddrinks,Second Class,8.4071
360,0.0,22.96,7,South,Corporate,television,Second Class,7.5768
361,0.0,55.48,1,East,Home Office,phone,First Class,26.6304
362,0.0,19.44,3,South,Corporate,phone,Standard Class,9.3312
363,0.0,99.98,2,South,Corporate,chocolates,Standard Class,42.9914
364,0.0,232.55,5,South,Corporate,laptop,Standard Class,9.302
365,0.0,689.82,6,Central,Consumer,laptop,Second Class,20.6946
366,0.2,7.184,2,West,Corporate,headset,First Class,2.245
367,0.0,5.47,1,Central,Consumer,shorts,Standard Class,2.3521
368,0.0,18.9,6,West,Home Office,tablet,Standard Class,9.072000000000001
369,0.0,159.98,2,West,Corporate,chocolates,Standard Class,57.5928
370,0.0,62.31,3,West,Corporate,chocolates,Standard Class,22.4316
371,0.0,11.16,2,West,Corporate,watch,Standard Class,5.58
372,0.0,177.68,2,South,Corporate,shorts,Standard Class,46.1968
373,0.2,33.488,7,Central,Consumer,phone,Second Class,10.465
374,0.2,26.72,5,Central,Consumer,phone,Second Class,9.352
375,0.0,154.9,5,South,Consumer,battery,Standard Class,40.274
376,0.0,1049.93,7,South,Consumer,colddrinks,Standard Class,293.9804
377,0.0,15.84,3,South,Consumer,phone,Standard Class,7.127999999999999
378,0.0,66.96,4,East,Corporate,laptop,Standard Class,2.6784
379,0.2,17.088,4,West,Consumer,headset,Second Class,5.5536
380,0.0,29.6,2,West,Consumer,tablet,Second Class,14.8
381,0.0,79.36,4,Central,Consumer,television,Standard Class,23.808000000000003
382,0.0,115.36,7,South,Corporate,headset,Standard Class,56.5264
383,0.0,6.24,2,East,Corporate,headset,Standard Class,3.0576
384,0.2,10.304,1,East,Home Office,charger,First Class,-2.1896
385,0.2,19.008,3,West,Corporate,phone,Standard Class,6.8904
386,0.0,1215.92,8,South,Corporate,hoodies,Standard Class,316.1392
387,0.2,49.792,8,West,Home Office,lighting,Standard Class,-11.8256
388,0.2,99.59200000000001,1,West,Home Office,hoodies,Standard Class,2.4898
389,0.0,399.96,4,West,Home Office,chocolates,Standard Class,139.986
390,0.4,172.11,1,East,Consumer,hoodies,Standard Class,-94.6605
391,0.2,2.3680000000000003,2,West,Corporate,lighting,Standard Class,0.8288
392,0.2,6.912000000000001,3,South,Consumer,lighting,Second Class,2.3328
393,0.2,10.368,2,South,Consumer,phone,Second Class,3.6288
394,0.2,335.944,7,South,Consumer,chocolates,Second Class,41.993
395,0.2,9.584,1,West,Consumer,headset,Standard Class,3.3544
396,0.2,758.352,6,Central,Home Office,colddrinks,Second Class,265.4232
397,0.0,87.08,7,West,Consumer,laptop,Standard Class,24.3824
398,0.7,44.91,6,East,Corporate,headset,Standard Class,-35.928000000000004
399,0.2,383.976,3,South,Consumer,chocolates,Second Class,81.5949
400,0.0,200.97,3,South,Home Office,colddrinks,Same Day,50.2425
401,0.0,217.44,6,West,Consumer,chocolates,Standard Class,91.3248
402,0.0,122.97,3,South,Corporate,phone,Standard Class,60.2553
403,0.0,58.32,9,South,Home Office,phone,Same Day,27.9936
404,0.2,116.78399999999999,2,East,Home Office,chocolates,First Class,21.897
405,0.0,33.9,2,West,Corporate,chocolates,Standard Class,2.0340000000000003
406,0.0,91.96,2,West,Corporate,shorts,Standard Class,15.6332
407,0.0,33.11,7,West,Corporate,shorts,Standard Class,12.9129
408,0.0,19.44,3,West,Corporate,phone,Standard Class,9.3312
409,0.0,653.55,3,West,Corporate,hoodies,Standard Class,111.1035
410,0.0,70.95,3,West,Corporate,television,Second Class,18.447
